MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
October,Mon,2nd,Liss,Four Marks,5,4,11,10
,Sun,8th,Treloar,Midhurst '82,7,2,16,5
,Thu,19th,Eagles,Alresford,7,2,14,4
,Fri,20th,Midhurst '82,Liss,3,6,8,13
,Fri,27th,Midhurst '82,Alresford,8,1,16,3
,Sun,29th,Treloar,Eagles,6,3,14,7
November,Wed,1st,Alresford,Liss,0,9,1,18
,Thu,16th,Four Marks,Treloar,7,2,15,4
,Fri,17th,Midhurst '82,Eagles,3,6,7,13
,Wed,22nd,Alresford,Four Marks,0,9,0,18
,Sun,26th,Treloar,Liss,6,3,12,6
,Thu,30th,Eagles,Four Marks,5,4,10,10
December,Tue,5th,Eagles,Liss,8,1,17,5
,Wed,6th,Alresford,Treloar,3,6,6,12
,Mon,18th,Four Marks,Liss,6,3,13,8
January,Sun,14th,Treloar,Four Marks,5,4,10,9
,Tue,16th,Eagles,Midhurst '82,8,1,16,4
,Fri,19th,Midhurst '82,Four Marks,5,4,10,9
,Mon,22nd,Liss,Treloar,5,4,10,9
,Mon,29th,Four Marks,Midhurst '82,6,3,14,7
,Mon,29th,Liss,Eagles,7,2,14,4
February,Fri,2nd,Midhurst '82,Treloar,3,6,6,12
,Mon,12th,Liss,Midhurst '82,6,3,13,8
,Wed,21st,Alresford,Midhurst '82,3,6,8,12
,Sun,25th,Treloar,Alresford,6,3,12,6
March,Thu,1st,Four Marks,Eagles,3,6,8,13
,Wed,7th,Alresford,Eagles,0,9,0,18
,Mon,19th,Liss,Alresford,9,0,18,1
,Tue,27th,Eagles,Treloar,4,5,10,10
,Thu,29th,Four Marks,Alresford,8,1,17,4
