MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
October,Sun,1st,Treloar,Four Marks,3,6,7,12
,Tue,10th,Eagles,Four Marks,1,8,6,16
November,Wed,8th,Bourne,Four Marks,4,5,9,11
,Sun,12th,Treloar,Eagles,8,1,16,3
,Tue,21st,Eagles,Liss,7,2,14,7
,Wed,29th,Bourne,Treloar,3,6,7,12
December,Mon,11th,Liss,Treloar,0,9,2,18
,Tue,19th,Eagles,Bourne,4,5,10,13
January,Thu,4th,Four Marks,Liss,8,1,16,2
,Sun,7th,Treloar,Liss,8,1,16,3
,Mon,22nd,Four Marks,Eagles,6,3,14,6
February,Mon,19th,Four Marks,Treloar,5,4,12,9
,Mon,19th,Liss,Bourne,3,6,9,13
March,Sun,4th,Treloar,Bourne,9,0,18,1
,Mon,12th,Liss,Four Marks,1,8,4,16
,Tue,13th,Eagles,Treloar,0,9,0,18
,Wed,21st,Bourne,Eagles,1,8,5,16
April,Mon,2nd,Liss,Eagles,1,8,4,17
,Wed,18th,Bourne,Liss,8,1,17,5
,Thu,25th,Four Marks,Bourne,9,0,18,1
