MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
October,Sun,6th,Haslemere A,Four Marks,9,0,18,0
,Tue,8th,Eagles,Four Marks,2,7,5,14
,Fri,11th,Midhurst '82,Eagles,9,0,18,0
,Sun,20th,Haslemere A,Liss,8,1,17,2
,Sun,27th,Haslemere B,Eagles,5,4,10,8
November,Sun,3rd,Haslemere B,Treloar,2,7,6,15
,Mon,4th,Four Marks,Midhurst '82,2,7,4,16
,Tue,5th,Eagles,Haslemere A,0,9,0,18
,Mon,11th,Liss,Midhurst '82,2,7,8,16
,Wed,13th,Four Marks,Haslemere B,4,5,8,11
,Sun,17th,Treloar,Liss,5,4,10,8
,Tue,19th,Eagles,Treloar,0,9,0,18
,Sun,24th,Treloar,Midhurst '82,8,1,17,2
December,Sun,1st,Treloar,Haslemere A,4,5,9,12
,Sun,8th,Haslemere B,Haslemere A,3,6,7,12
,Sun,15th,Haslemere A,Haslemere B,9,0,18,1
,Tue,17th,Eagles,Liss,2,7,6,16
January,Sun,5th,Treloar,Haslemere B,6,3,12,7
,Thu,9th,Four Marks,Liss,1,8,4,17
,Thu,16th,Four Marks,Haslemere A,5,4,10,9
,Sun,19th,Treloar,Four Marks,7,2,14,4
,Mon,20th,Liss,Haslemere B,7,2,16,5
,Sun,26th,Haslemere B,Four Marks,8,1,16,3
February,Fri,7th,Midhurst '82,Haslemere B,5,3,11,6
,Sun,9th,Haslemere A,Eagles,7,2,16,6
,Thu,13th,Four Marks,Eagles,6,3,12,6
,Sun,16th,Haslemere A,Midhurst '82,5,4,11,10
,Sun,16th,Treloar,Eagles,8,1,17,3
,Fri,21st,Midhurst '82,Liss,3,6,7,14
,Fri,28th,Midhurst '82,Four Marks,7,2,16,5
March,Mon,3rd,Liss,Eagles,9,0,18,1
,Sun,9th,Haslemere A,Treloar,5,4,12,8
,Mon,10th,Liss,Four Marks,7,2,16,4
,Fri,14th,Midhurst '82,Haslemere A,7,2,14,5
,Sun,16th,Haslemere B,Liss,3,5,7,11
,Mon,24th,Liss,Treloar,4,5,8,11
,Tue,25th,Eagles,Haslemere B,4,5,8,10
,Fri,28th,Midhurst '82,Treloar,5,4,11,9
April,Thu,3rd,Four Marks,Treloar,2,6,5,12
,Mon,7th,Liss,Haslemere A,5,4,10,8
,Tue,8th,Eagles,Midhurst '82,2,7,5,16
,Tue,15th,Haslemere B,Midhurst '82,4,5,10,10
