MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
October,Sun,2nd,Haslemere B,Eagles,5,4,12,8
,Tue,11th,Eagles,Liss,4,5,8,10
,Fri,14th,Midhurst '82,Haslemere A,8,1,16,5
,Sun,30th,Haslemere B,Liss,2,7,6,14
November,Sun,6th,Haslemere B,Treloar,3,6,6,15
,Tue,8th,Eagles,Haslemere A,1,8,4,16
,Fri,18th,Midhurst '82,Treloar,7,2,16,4
,Sun,20th,Haslemere A,Liss,7,2,14,5
,Fri,25th,Midhurst '82,Liss,6,3,13,7
December,Sun,4th,Treloar,Haslemere A,4,5,11,10
,Sun,11th,Haslemere B,Haslemere A,3,6,13,6
,Sun,18th,Haslemere A,Haslemere B,7,2,14,4
January,Sun,8th,Haslemere A,Eagles,7,2,14,5
,Fri,13th,Midhurst '82,Haslemere B,9,0,17,3
,Sun,15th,Liss,Midhurst '82,6,3,12,6
,Sun,22nd,Treloar,Eagles,7,2,14,5
,Sun,29th,Treloar,Liss,6,3,15,6
February,Sun,5th,Treloar,Haslemere B,9,0,18,1
,Fri,10th,Liss,Haslemere B,0,12,0,0
,Tue,21st,Eagles,Midhurst '82,4,5,8,10
,Sun,26th,Haslemere A,Treloar,5,4,10,9
,Sun,26th,Liss,Eagles,6,3,12,7
March,Sun,5th,Haslemere A,Midhurst '82,6,3,13,7
,Sun,12th,Treloar,Midhurst '82,6,3,13,9
,Tue,14th,Eagles,Haslemere B,5,4,12,8
,Tue,21st,Eagles,Treloar,2,7,4,14
,Fri,24th,Liss,Haslemere A,3,6,6,13
April,Sun,2nd,Haslemere B,Midhurst '82,5,4,11,8
Walkover, , ,Midhurst '82,Eagles,9,0,0,0
Unplayed, , ,Liss,Treloar,0,0,0,0
