MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES,HOME RUBBERS,AWAY RUBBERS
September,Fri,26th,Haslemere A,Haslemere B,12,0,6,0
October,Fri,3rd,Haslemere B,Eagles,6,9,2,4
,Fri,17th,Haslemere A,Midhurst '82,11,3,5,1
,Wed,29th,Four Marks,Haslemere A,6,6,3,3
,Fri,31st,Haslemere B,Haslemere A,0,12,0,6
November,Fri,7th,Midhurst '82,Eagles,12,1,6,0
,Wed,12th,Four Marks,Haslemere B,9,5,4,2
,Tue,18th,Eagles,Haslemere A,0,12,0,6
,Fri,28th,Midhurst '82,Haslemere A,12,1,6,0
December,Tue,2nd,Eagles,Four Marks,1,12,0,6
,Tue,2nd,Midhurst '82,Haslemere B,12,0,6,0
,Wed,10th,Four Marks,Midhurst '82,4,9,2,4
January,Tue,20th,Eagles,Midhurst '82,5,10,1,5
February,Wed,11th,Four Marks,Eagles,10,2,5,1
,Fri,13th,Haslemere B,Midhurst '82,3,10,1,5
,Fri,27th,Midhurst '82,Four Marks,10,2,5,1
April,Tue,7th,Eagles,Haslemere B,3,9,2,4
May,Wed,6th,Haslemere A,Four Marks,12,1,6,0
Walkover, , ,Haslemere A,Eagles,12,0,6,0
, , ,Haslemere B,Four Marks,12,0,6,0
