MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
September,Thu,10th,The Edge,Four Marks,1,12
,Wed,23rd,Four Marks,Liss,12,1
,Wed,30th,Four Marks,Midhurst '82,12,1
October,Tue,6th,Eagles,Four Marks,1,12
,Thu,8th,The Edge,Midhurst '82,6,9
,Sun,18th,Liss,The Grange,10,5
,Thu,29th,The Edge,Liss,1,12
November,Tue,10th,Eagles,Liss,12,0
December,Tue,1st,Eagles,The Edge,12,0
,Fri,4th,Midhurst '82,Liss,9,6
,Tue,8th,The Grange,Eagles,2,11
,Fri,11th,Midhurst '82,Eagles,5,8
January,Sun,17th,Liss,Eagles,4,11
,Wed,27th,Four Marks,The Edge,12,0
February,Fri,12th,Midhurst '82,The Edge,11,5
,Tue,16th,Eagles,Midhurst '82,8,5
,Sun,21st,Liss,Midhurst '82,6,7
,Sun,28th,Liss,Four Marks,1,12
March,Fri,5th,Midhurst '82,The Grange,10,5
,Sun,7th,Liss,The Edge,11,3
,Tue,9th,The Grange,Four Marks,1,12
,Mon,15th,Four Marks,Eagles,12,1
,Tue,23rd,The Grange,Liss,9,5
,Fri,26th,Midhurst '82,Four Marks,10,3
April,Thu,1st,The Edge,The Grange,6,8
,Tue,13th,Four Marks,The Grange,0,0
,Thu,15th,The Edge,Eagles,0,12
,Tue,20th,Eagles,The Grange,10,2
,Thu,22nd,The Grange,The Edge,11,4
Unplayed, , ,The Grange,Midhurst '82,0,0
