MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
September,Thu,26th,The Edge A,Eagles,4,2,10,4
,Mon,30th,Four Marks A,Eagles,4,2,10,5
October,Thu,3rd,The Edge A,Four Marks A,3,3,7,6
November,Mon,4th,Four Marks A,The Edge A,2,4,5,9
,Fri,15th,Midhurst '82,Four Marks A,0,6,1,12
January,Tue,14th,Eagles,Midhurst '82,5,1,10,3
,Tue,28th,Eagles,Four Marks A,4,2,8,6
February,Mon,17th,Four Marks A,Midhurst '82,5,1,10,2
,Tue,18th,Eagles,The Edge A,4,2,8,5
March,Thu,13th,The Edge A,Midhurst '82,4,2,9,5
April,Fri,4th,Midhurst '82,Eagles,3,3,6,7
,Tue,29th,Midhurst '82,The Edge A,3,3,9,8
