MONTH,TIME,DAY,HOME,AWAY,HOME GAMES,AWAY GAMES,HOME RUBBERS,AWAY RUBBERS
September,7:00pm Fri,27th,Haslemere,Four Marks B,12,1,6,0
October,7:00pm Wed,9th,Four Marks B,Midhurst ‘82,6,7,3,3
,7:20pm Wed,16th,Eagles,Four Marks A,8,6,3,3
,7:00pm Wed,23rd,Four Marks A,Four Marks B,10,3,5,1
November,8:00pm Mon,4th,Midhurst ‘82,Eagles,4,9,2,4
,8:00pm Mon,11th,Midhurst ‘82,Four Marks A,2,9,1,5
,7:20pm Wed,20th,Eagles,Four Marks B,12,0,6,0
December,7:00pm Wed,2nd,Four Marks B,Four Marks A,3,12,0,6
January,8:00pm Fri,3rd,Haslemere,Eagles,8,6,4,2
,7:00pm Wed,22nd,Four Marks B,Eagles,2,12,0,6
February,7:00pm Wed,12th,Four Marks B,Haslemere,5,9,2,4
,7:20pm Wed,12th,Eagles,Midhurst ‘82,9,6,5,1
,8:00pm Mon,24th,Midhurst ‘82,Four Marks B,12,2,6,0
,7:00pm Wed,26th,Four Marks A,Eagles,10,4,5,1
March,7:00pm Wed,11th,Four Marks A,Midhurst ‘82,8,4,4,2
,7:00pm Mon,16th,Four Marks A,Haslemere,8,5,4,2
,7:00pm Fri,20th,Haslemere,Four Marks A,,,,
,8:00pm Mon,30th,Midhurst ‘82,Haslemere,,,,
April,7:20pm Wed,8th,Eagles,Haslemere,,,,
,7:00pm Fri,24th,Haslemere,Midhurst ‘82,,,,
