MONTH,TIME,DAY,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
October,8:00pm Wed,20,Eagles A,Eagles B,6,0,12,1
November,7:30pm Wed,3,Alresford,Eagles B,2,3,5,9
,8:00pm Wed,10,Eagles B,Eagles A,0,6,0,12
December,8:00pm Wed,1,Eagles A,Alresford,5,0,12,0
January,7:30pm Wed,19,Alresford,Eagles A,1,5,2,11
,8:00pm Tue,25,Midhurst,Eagles B,4,1,10,3
February,7:30pm Wed,9,Alresford,Midhurst,1,5,2,11
,8:00pm Wed,16,Eagles A,Midhurst,2,4,4,9
March,8:00pm Tue,1,Midhurst,Alresford,5,1,10,3
,8:00pm Wed,16,Eagles B,Alresford,2,3,8,6
,8:00pm Tue,29,Midhurst,Eagles A,4,2,8,4
April,8:00pm Wed,6,Eagles B,Midhurst,2,4,4,8
